gene name,description,gene id,protein id,number of domains,domains[count],paralogous family ID,members of paralogous family ,representative family member,"paralog [ % identity representative member:paralog , % identity paralog: representative member]",consensus RNA target,putative RNA target,supporting evidence (# pubmed ID),category in Baltz et al.,category in Castello et al.,found in both human mass spec,human cell lines mass spec,category in Kwon et al. mouse mESC,Toronto RBPDB,GO RNA related category,GO RNA related category description,GO general category,GO general category description,OMIM
PABPC5,"poly(A) binding protein, cytoplasmic 5 [Source:HGNC Symbol;Acc:13629]",ENSG00000174740,ENSP00000308012,4,RRM_1[4],family-754,"PABPC1,PABPC1L,PABPC3,PABPC4L,PABPC4,PABPC5,PABPC1L2A,PABPC1L2B",PABPC1,"PABPC1L[68,70],PABPC3[92,93],PABPC4L[42,63],PABPC4[79,76],PABPC5[38,63],PABPC1L2A[25,80],PABPC1L2B[25,80]",mRNA,mRNA,by homology,.,.,.,.,.,1,GO:0003723,RNA binding,"GO:0000166,GO:0003723,GO:0003676,GO:0005759","nucleotide binding,RNA binding,nucleic acid binding,mitochondrial matrix",.
PABPN1,"poly(A) binding protein, nuclear 1 [Source:HGNC Symbol;Acc:8565]",ENSG00000100836,ENSP00000216727,1,RRM_1[1],family-1087,"PABPN1,PABPN1L",PABPN1,"PABPN1L[34,38]",mRNA,mRNA,22502866,RNAbinding,experimentally validated,1,1,1,1,"GO:0003723,GO:0030529,GO:0008380,GO:0000398,GO:0006396,GO:0016973,GO:0031124,GO:0046778","RNA binding,ribonucleoprotein complex,RNA splicing,mRNA splicing, via spliceosome,RNA processing,poly(A)+ mRNA export from nucleus,mRNA 3'-end processing,modification by virus of host mRNA processing","GO:0003676,GO:0000166,GO:0005634,GO:0005737,GO:0003723,GO:0005515,GO:0005654,GO:0030529,GO:0006366,GO:0010467,GO:0008380,GO:0000398,GO:0006396,GO:0016973,GO:0006936,GO:0031124,GO:0019048,GO:0019058,GO:0006369,GO:0019054,GO:0046778","nucleic acid binding,nucleotide binding,nucleus,cytoplasm,RNA binding,protein binding,nucleoplasm,ribonucleoprotein complex,transcription from RNA polymerase II promoter,gene expression,RNA splicing,mRNA splicing, via spliceosome,RNA processing,poly(A)+ mRNA export from nucleus,muscle contraction,mRNA 3'-end processing,modulation by virus of host morphology or physiology,viral life cycle,termination of RNA polymerase II transcription,modulation by virus of host process,modification by virus of host mRNA processing", OCULOPHARYNGEAL MUSCULAR DYSTROPHY; OPMD
PABPN1L,"poly(A) binding protein, nuclear 1-like (cytoplasmic) [Source:HGNC Symbol;Acc:37237]",ENSG00000205022,ENSP00000408598,1,RRM_1[1],family-1087,"PABPN1,PABPN1L",PABPN1,"PABPN1L[34,38]",mRNA,mRNA,15083517,.,.,.,.,.,1,GO:0003723,RNA binding,"GO:0000166,GO:0003723,GO:0003676,GO:0005737","nucleotide binding,RNA binding,nucleic acid binding,cytoplasm",.
PAIP1,poly(A) binding protein interacting protein 1 [Source:HGNC Symbol;Acc:16945],ENSG00000172239,ENSP00000425675,2,"PAM2[1],MIF4G[1]",family-35,PAIP1,.,.,mRNA,mRNA,"The protein encoded by this gene interacts with poly(A)-binding protein and with the cap-binding complex eIF4A. It is involved in translational initiation and protein biosynthesis. Overexpression of this gene in COS7 cells stimulates translation. Alternative splicing occurs at this locus and three transcript variants encoding three distinct isoforms have been identified. [provided by RefSeq, Jul 2008]",.,.,.,.,.,.,"GO:0003723,GO:0008494,GO:0016070,GO:0016071,GO:0000288,GO:0000289,GO:0045727,GO:0048255,GO:0006413","RNA binding,translation activator activity,RNA metabolic process,mRNA metabolic process,nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay,nuclear-transcribed mRNA poly(A) tail shortening,positive regulation of translation,mRNA stabilization,translational initiation","GO:0005488,GO:0003723,GO:0005515,GO:0008494,GO:0005737,GO:0005829,GO:0010467,GO:0016070,GO:0016071,GO:0000288,GO:0000289,GO:0045727,GO:0048255,GO:0006413","binding,RNA binding,protein binding,translation activator activity,cytoplasm,cytosol,gene expression,RNA metabolic process,mRNA metabolic process,nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay,nuclear-transcribed mRNA poly(A) tail shortening,positive regulation of translation,mRNA stabilization,translational initiation",.
PAIP2,poly(A) binding protein interacting protein 2 [Source:HGNC Symbol;Acc:17970],ENSG00000120727,ENSP00000378275,1,PAM2[1],family-435,"PAIP2,PAIP2B",PAIP2,"PAIP2B[58,60]",mRNA,mRNA,15175342,.,.,.,.,.,.,GO:0030371,translation repressor activity,"GO:0005515,GO:0030371,GO:0005737,GO:0045947","protein binding,translation repressor activity,cytoplasm,negative regulation of translational initiation",.
PAIP2B,poly(A) binding protein interacting protein 2B [Source:HGNC Symbol;Acc:29200],ENSG00000124374,ENSP00000244221,1,PAM2[1],family-435,"PAIP2,PAIP2B",PAIP2,"PAIP2B[58,60]",mRNA,mRNA,20739757,.,.,.,.,.,.,GO:0000900,"translation repressor activity, nucleic acid binding","GO:0005515,GO:0000900,GO:0005737,GO:0045947","protein binding,translation repressor activity, nucleic acid binding,cytoplasm,negative regulation of translational initiation",.
PAN2,PAN2 poly(A) specific ribonuclease subunit homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:20074],ENSG00000135473,ENSP00000257931,2,"RNase_T[1],UCH_1[1]",family-237,PAN2,.,.,mRNA,mRNA,established RBP ,.,.,.,.,.,.,"GO:0004527,GO:0004535,GO:0000175,GO:0000932,GO:0016070,GO:0016071,GO:0000288,GO:0000289,GO:0000184","exonuclease activity,poly(A)-specific ribonuclease activity,3'-5'-exoribonuclease activity,cytoplasmic mRNA processing body,RNA metabolic process,mRNA metabolic process,nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay,nuclear-transcribed mRNA poly(A) tail shortening,nuclear-transcribed mRNA catabolic process, nonsense-mediated decay","GO:0005515,GO:0003676,GO:0004527,GO:0004535,GO:0004221,GO:0000175,GO:0005634,GO:0005829,GO:0000932,GO:0031251,GO:0006511,GO:0010467,GO:0016070,GO:0016071,GO:0000288,GO:0000289,GO:0000184","protein binding,nucleic acid binding,exonuclease activity,poly(A)-specific ribonuclease activity,ubiquitin thiolesterase activity,3'-5'-exoribonuclease activity,nucleus,cytosol,cytoplasmic mRNA processing body,PAN complex,ubiquitin-dependent protein catabolic process,gene expression,RNA metabolic process,mRNA metabolic process,nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay,nuclear-transcribed mRNA poly(A) tail shortening,nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",.
PAN3,PAN3 poly(A) specific ribonuclease subunit homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:29991],ENSG00000152520,ENSP00000370345,2,"Pkinase[1],zf-CCCH[1]",family-839,PAN3,.,.,mRNA,mRNA,established RBP ,.,.,.,.,.,1,"GO:0004535,GO:0000932,GO:0016070,GO:0016071,GO:0000288,GO:0000289,GO:0010606,GO:0000290,GO:0000184","poly(A)-specific ribonuclease activity,cytoplasmic mRNA processing body,RNA metabolic process,mRNA metabolic process,nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay,nuclear-transcribed mRNA poly(A) tail shortening,positive regulation of cytoplasmic mRNA processing body assembly,deadenylation-dependent decapping of nuclear-transcribed mRNA,nuclear-transcribed mRNA catabolic process, nonsense-mediated decay","GO:0005515,GO:0005524,GO:0046872,GO:0004672,GO:0004535,GO:0016772,GO:0005829,GO:0000932,GO:0005813,GO:0031251,GO:0010467,GO:0016070,GO:0016071,GO:0000288,GO:0000289,GO:0010606,GO:0006468,GO:0006605,GO:0000290,GO:0000184","protein binding,ATP binding,metal ion binding,protein kinase activity,poly(A)-specific ribonuclease activity,transferase activity, transferring phosphorus-containing groups,cytosol,cytoplasmic mRNA processing body,centrosome,PAN complex,gene expression,RNA metabolic process,mRNA metabolic process,nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay,nuclear-transcribed mRNA poly(A) tail shortening,positive regulation of cytoplasmic mRNA processing body assembly,protein phosphorylation,protein targeting,deadenylation-dependent decapping of nuclear-transcribed mRNA,nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",.
PAPD4,PAP associated domain containing 4 [Source:HGNC Symbol;Acc:26776],ENSG00000164329,ENSP00000397563,2,"PAP_assoc[1],NTP_transf_2[1]",family-545,"PAPD4,ZCCHC6,ZCCHC11",PAPD4,"ZCCHC6[25,8],ZCCHC11[27,8]",mRNA,mRNA/miRNA,18172165,.,.,.,.,.,.,"GO:0031380,GO:0006397,GO:0043631,GO:0071044","nuclear RNA-directed RNA polymerase complex,mRNA processing,RNA polyadenylation,histone mRNA catabolic process","GO:0005524,GO:0046872,GO:0004652,GO:0005737,GO:0031380,GO:0006397,GO:0043631,GO:0071044,GO:0005515,GO:0005634","ATP binding,metal ion binding,polynucleotide adenylyltransferase activity,cytoplasm,nuclear RNA-directed RNA polymerase complex,mRNA processing,RNA polyadenylation,histone mRNA catabolic process,protein binding,nucleus",.
PAPD5,PAP associated domain containing 5 [Source:HGNC Symbol;Acc:30758],ENSG00000121274,ENSP00000396995,2,"PAP_assoc[1],NTP_transf_2[1]",family-576,"PAPD5,PAPD7",PAPD5,"PAPD7[39,51]",diverse,diverse,"21878619, TRAMP complex",RNAbinding,novel,1,1,.,.,GO:0071044,histone mRNA catabolic process,"GO:0016779,GO:0046872,GO:0003677,GO:0003887,GO:0005634,GO:0005737,GO:0007067,GO:0071044","nucleotidyltransferase activity,metal ion binding,DNA binding,DNA-directed DNA polymerase activity,nucleus,cytoplasm,mitosis,histone mRNA catabolic process",.
PAPD7,PAP associated domain containing 7 [Source:HGNC Symbol;Acc:16705],ENSG00000112941,ENSP00000230859,2,"PAP_assoc[1],NTP_transf_2[1]",family-576,"PAPD5,PAPD7",PAPD5,"PAPD7[39,51]",diverse,diverse,"21878619, TRAMP complex",.,.,.,.,.,.,.,.,"GO:0046872,GO:0003677,GO:0016779,GO:0003887,GO:0043221,GO:0005634,GO:0042493,GO:0006302,GO:0007076,GO:0007062","metal ion binding,DNA binding,nucleotidyltransferase activity,DNA-directed DNA polymerase activity,SMC family protein binding,nucleus,response to drug,double-strand break repair,mitotic chromosome condensation,sister chromatid cohesion",.
PAPOLA,poly(A) polymerase alpha [Source:HGNC Symbol;Acc:14981],ENSG00000090060,ENSP00000450534,2,"PAP_RNA-bind[1],PAP_central[1]",family-912,"PAPOLA,PAPOLB,PAPOLG",PAPOLA,"PAPOLB[72,85],PAPOLG[59,60]",mRNA,mRNA,"The protein encoded by this gene belongs to the poly(A) polymerase family. It is required for the addition of adenosine residues for the creation of the 3'-poly(A) tail of mRNAs. Alternatively spliced transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Oct 2011]",.,.,.,.,.,.,"GO:0043631,GO:0003723,GO:0031123,GO:0008380,GO:0000398,GO:0031124,GO:0006378","RNA polyadenylation,RNA binding,RNA 3'-end processing,RNA splicing,mRNA splicing, via spliceosome,mRNA 3'-end processing,mRNA polyadenylation","GO:0004652,GO:0043631,GO:0003723,GO:0016779,GO:0005634,GO:0031123,GO:0005524,GO:0000287,GO:0030145,GO:0005737,GO:0005654,GO:0006366,GO:0010467,GO:0008380,GO:0000398,GO:0031124,GO:0006378,GO:0006369","polynucleotide adenylyltransferase activity,RNA polyadenylation,RNA binding,nucleotidyltransferase activity,nucleus,RNA 3'-end processing,ATP binding,magnesium ion binding,manganese ion binding,cytoplasm,nucleoplasm,transcription from RNA polymerase II promoter,gene expression,RNA splicing,mRNA splicing, via spliceosome,mRNA 3'-end processing,mRNA polyadenylation,termination of RNA polymerase II transcription",.
PAPOLB,poly(A) polymerase beta (testis specific) [Source:HGNC Symbol;Acc:15970],ENSG00000218823,ENSP00000384700,2,"PAP_RNA-bind[1],PAP_central[1]",family-912,"PAPOLA,PAPOLB,PAPOLG",PAPOLA,"PAPOLB[72,85],PAPOLG[59,60]",mRNA,mRNA,established RBP ,.,.,.,.,.,.,"GO:0003723,GO:0000398,GO:0043631,GO:0006378,GO:0031123","RNA binding,mRNA splicing, via spliceosome,RNA polyadenylation,mRNA polyadenylation,RNA 3'-end processing","GO:0005515,GO:0003723,GO:0005524,GO:0046872,GO:0016779,GO:0004652,GO:0005737,GO:0005634,GO:0005783,GO:0000398,GO:0043631,GO:0006378,GO:0006369,GO:0031123","protein binding,RNA binding,ATP binding,metal ion binding,nucleotidyltransferase activity,polynucleotide adenylyltransferase activity,cytoplasm,nucleus,endoplasmic reticulum,mRNA splicing, via spliceosome,RNA polyadenylation,mRNA polyadenylation,termination of RNA polymerase II transcription,RNA 3'-end processing",.
PAPOLG,poly(A) polymerase gamma [Source:HGNC Symbol;Acc:14982],ENSG00000115421,ENSP00000238714,2,"PAP_RNA-bind[1],PAP_central[1]",family-912,"PAPOLA,PAPOLB,PAPOLG",PAPOLA,"PAPOLB[72,85],PAPOLG[59,60]",mRNA,mRNA,established RBP ,.,.,.,.,.,.,"GO:0003723,GO:0043631,GO:0031123,GO:0006378","RNA binding,RNA polyadenylation,RNA 3'-end processing,mRNA polyadenylation","GO:0003723,GO:0016779,GO:0004652,GO:0005634,GO:0043631,GO:0031123,GO:0005524,GO:0046872,GO:0006378","RNA binding,nucleotidyltransferase activity,polynucleotide adenylyltransferase activity,nucleus,RNA polyadenylation,RNA 3'-end processing,ATP binding,metal ion binding,mRNA polyadenylation",.
PARK7,parkinson protein 7 [Source:HGNC Symbol;Acc:16369],ENSG00000116288,ENSP00000418770,1,DJ-1_PfpI[1],family-334,PARK7,.,.,mRNA,mRNA,18626009,.,.,.,.,.,.,GO:0003729,mRNA binding,"GO:0005515,GO:0042803,GO:0004601,GO:0003729,GO:0008233,GO:0051920,GO:0005634,GO:0005737,GO:0005739,GO:0005829,GO:0006508,GO:0006914,GO:0006954,GO:0070301,GO:0007338,GO:0032091,GO:0043524,GO:0007005,GO:0060548,GO:0043523,GO:0008344,GO:0008219,GO:0050821,GO:0050727,GO:0051899,GO:0060081,GO:2001237,GO:0060765,GO:0051583,GO:0042743,GO:2000277,GO:0001963,GO:0034614,GO:0042542,GO:0034599","protein binding,protein homodimerization activity,peroxidase activity,mRNA binding,peptidase activity,peroxiredoxin activity,nucleus,cytoplasm,mitochondrion,cytosol,proteolysis,autophagy,inflammatory response,cellular response to hydrogen peroxide,single fertilization,negative regulation of protein binding,negative regulation of neuron apoptotic process,mitochondrion organization,negative regulation of cell death,regulation of neuron apoptotic process,adult locomotory behavior,cell death,protein stabilization,regulation of inflammatory response,membrane depolarization,membrane hyperpolarization,negative regulation of extrinsic apoptotic signaling pathway,regulation of androgen receptor signaling pathway,dopamine uptake involved in synaptic transmission,hydrogen peroxide metabolic process,positive regulation of oxidative phosphorylation uncoupler activity,synaptic transmission, dopaminergic,cellular response to reactive oxygen species,response to hydrogen peroxide,cellular response to oxidative stress"," PARKINSON DISEASE, LATE-ONSET; PD"
PARN,poly(A)-specific ribonuclease [Source:HGNC Symbol;Acc:8609],ENSG00000140694,ENSP00000444381,3,"CAF1[2],RNA_bind[1]",family-132,"PARN,PNLDC1",PARN,"PNLDC1[20,25]",mRNA,mRNA,established RBP ,.,experimentally validated,.,1,.,1,"GO:0003723,GO:0004535,GO:0006402,GO:0003730,GO:0016070,GO:0016071,GO:0000288,GO:0000289,GO:0009451,GO:0000184","RNA binding,poly(A)-specific ribonuclease activity,mRNA catabolic process,mRNA 3'-UTR binding,RNA metabolic process,mRNA metabolic process,nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay,nuclear-transcribed mRNA poly(A) tail shortening,RNA modification,nuclear-transcribed mRNA catabolic process, nonsense-mediated decay","GO:0003676,GO:0005634,GO:0000166,GO:0003723,GO:0046872,GO:0004535,GO:0005737,GO:0006402,GO:0005515,GO:0019901,GO:0004518,GO:0003730,GO:0005829,GO:0005730,GO:0010467,GO:0016070,GO:0016071,GO:0000288,GO:0000289,GO:0007292,GO:0009451,GO:0000184,GO:0090305","nucleic acid binding,nucleus,nucleotide binding,RNA binding,metal ion binding,poly(A)-specific ribonuclease activity,cytoplasm,mRNA catabolic process,protein binding,protein kinase binding,nuclease activity,mRNA 3'-UTR binding,cytosol,nucleolus,gene expression,RNA metabolic process,mRNA metabolic process,nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay,nuclear-transcribed mRNA poly(A) tail shortening,female gamete generation,RNA modification,nuclear-transcribed mRNA catabolic process, nonsense-mediated decay,nucleic acid phosphodiester bond hydrolysis",.
PARP1,poly (ADP-ribose) polymerase 1 [Source:HGNC Symbol;Acc:270],ENSG00000143799,ENSP00000355759,7,"BRCT[1],WGR[1],PARP_reg[1],zf-PARP[2],PARP[1],PADR1[1]",family-329,"PARP1,PARP2,PARP3",PARP1,"PARP2[19,33],PARP3[16,31]",mRNA,putative mRNA,"24510188, 23219533",candidate mRNA binder,RNArelated,1,1,.,.,.,.,"GO:0008270,GO:0003677,GO:0005515,GO:0003950,GO:0019899,GO:0070412,GO:0008134,GO:0042802,GO:0051287,GO:0047485,GO:0005730,GO:0005654,GO:0043234,GO:0005634,GO:0005667,GO:0005635,GO:0006259,GO:0023019,GO:0006471,GO:0060391,GO:0007179,GO:0070212,GO:2000679,GO:0045944,GO:0000122,GO:0006351,GO:0006366,GO:0006284,GO:0006281,GO:0010467,GO:0006367,GO:0000723,GO:0032869,GO:0006302,GO:0030225,GO:0016540,GO:0040009,GO:0042769","zinc ion binding,DNA binding,protein binding,NAD+ ADP-ribosyltransferase activity,enzyme binding,R-SMAD binding,transcription factor binding,identical protein binding,NAD binding,protein N-terminus binding,nucleolus,nucleoplasm,protein complex,nucleus,transcription factor complex,nuclear envelope,DNA metabolic process,signal transduction involved in regulation of gene expression,protein ADP-ribosylation,positive regulation of SMAD protein import into nucleus,transforming growth factor beta receptor signaling pathway,protein poly-ADP-ribosylation,positive regulation of transcription regulatory region DNA binding,positive regulation of transcription from RNA polymerase II promoter,negative regulation of transcription from RNA polymerase II promoter,transcription, DNA-templated,transcription from RNA polymerase II promoter,base-excision repair,DNA repair,gene expression,transcription initiation from RNA polymerase II promoter,telomere maintenance,cellular response to insulin stimulus,double-strand break repair,macrophage differentiation,protein autoprocessing,regulation of growth rate,DNA damage response, detection of DNA damage",.
PARP12,"poly (ADP-ribose) polymerase family, member 12 [Source:HGNC Symbol;Acc:21919]",ENSG00000059378,ENSP00000263549,2,"PARP[1],zf-CCCH[1]",family-175,"PARP11,PARP12,TIPARP,ZC3HAV1,PARP10,PARP14,PARP15",PARP11,"PARP12[35,17],TIPARP[29,15],ZC3HAV1[27,10],PARP10[22,7],PARP14[28,5],PARP15[26,13]",unknown,unknown,by homology,.,novel,.,1,.,1,.,.,"GO:0003950,GO:0046872,GO:0005634","NAD+ ADP-ribosyltransferase activity,metal ion binding,nucleus",.
PARP4,"poly (ADP-ribose) polymerase family, member 4 [Source:HGNC Symbol;Acc:271]",ENSG00000102699,ENSP00000371419,5,"BRCT[1],VWA_3[1],PARP_reg[1],VIT[1],PARP[1]",family-774,"PARP4,VWA5A",PARP4,"VWA5A[10,22]",ncRNA,vtRNA,11479319,.,.,.,.,.,.,GO:0030529,ribonucleoprotein complex,"GO:0005515,GO:0003677,GO:0019899,GO:0003950,GO:0005634,GO:0005737,GO:0030529,GO:0005876,GO:0006954,GO:0006974,GO:0006464,GO:0042493,GO:0006281,GO:0006810,GO:0006471,GO:0008219","protein binding,DNA binding,enzyme binding,NAD+ ADP-ribosyltransferase activity,nucleus,cytoplasm,ribonucleoprotein complex,spindle microtubule,inflammatory response,cellular response to DNA damage stimulus,cellular protein modification process,response to drug,DNA repair,transport,protein ADP-ribosylation,cell death",.
PARS2,"prolyl-tRNA synthetase 2, mitochondrial (putative) [Source:HGNC Symbol;Acc:30563]",ENSG00000162396,ENSP00000360327,2,"tRNA-synt_2b[1],HGTP_anticodon[1]",family-495,PARS2,.,.,tRNA,tRNA,established RBP ,.,.,.,.,.,.,"GO:0004812,GO:0004827,GO:0006418,GO:0006433","aminoacyl-tRNA ligase activity,proline-tRNA ligase activity,tRNA aminoacylation for protein translation,prolyl-tRNA aminoacylation","GO:0000166,GO:0005524,GO:0004812,GO:0004827,GO:0005739,GO:0005759,GO:0010467,GO:0006418,GO:0006433","nucleotide binding,ATP binding,aminoacyl-tRNA ligase activity,proline-tRNA ligase activity,mitochondrion,mitochondrial matrix,gene expression,tRNA aminoacylation for protein translation,prolyl-tRNA aminoacylation",.
PATL1,protein associated with topoisomerase II homolog 1 (yeast) [Source:HGNC Symbol;Acc:26721],ENSG00000166889,ENSP00000300146,1,PAT1[1],family-156,"PATL1,PATL2",PATL1,"PATL2[23,33]",mRNA,mRNA,20852261,RNAbinding,experimentally validated,1,1,.,.,"GO:0003723,GO:0034046,GO:0008266,GO:0000932,GO:0016070,GO:0016071,GO:0000288,GO:0000290,GO:0033962,GO:0043928","RNA binding,poly(G) RNA binding,poly(U) RNA binding,cytoplasmic mRNA processing body,RNA metabolic process,mRNA metabolic process,nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay,deadenylation-dependent decapping of nuclear-transcribed mRNA,cytoplasmic mRNA processing body assembly,exonucleolytic nuclear-transcribed mRNA catabolic process involved in deadenylation-dependent decay","GO:0003723,GO:0005515,GO:0034046,GO:0008266,GO:0005829,GO:0000932,GO:0043231,GO:0016605,GO:0030014,GO:0016607,GO:0010467,GO:0016070,GO:0016071,GO:0000288,GO:0000290,GO:0033962,GO:0043928","RNA binding,protein binding,poly(G) RNA binding,poly(U) RNA binding,cytosol,cytoplasmic mRNA processing body,intracellular membrane-bounded organelle,PML body,CCR4-NOT complex,nuclear speck,gene expression,RNA metabolic process,mRNA metabolic process,nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay,deadenylation-dependent decapping of nuclear-transcribed mRNA,cytoplasmic mRNA processing body assembly,exonucleolytic nuclear-transcribed mRNA catabolic process involved in deadenylation-dependent decay",.
PATL2,protein associated with topoisomerase II homolog 2 (yeast) [Source:HGNC Symbol;Acc:33630],ENSG00000229474,ENSP00000416673,1,PAT1[1],family-156,"PATL1,PATL2",PATL1,"PATL2[23,33]",mRNA,mRNA,17936923,.,.,.,.,.,.,"GO:0003723,GO:0000932,GO:0030529,GO:0010607","RNA binding,cytoplasmic mRNA processing body,ribonucleoprotein complex,negative regulation of cytoplasmic mRNA processing body assembly","GO:0003723,GO:0005515,GO:0005737,GO:0005634,GO:0000932,GO:0030529,GO:0017148,GO:0010607","RNA binding,protein binding,cytoplasm,nucleus,cytoplasmic mRNA processing body,ribonucleoprotein complex,negative regulation of translation,negative regulation of cytoplasmic mRNA processing body assembly",.
PCBP1,poly(rC) binding protein 1 [Source:HGNC Symbol;Acc:8647],ENSG00000169564,ENSP00000305556,3,KH_1[3],family-421,"HNRNPK,PCBP3,PCBP4,PCBP2,PCBP1",HNRNPK,"PCBP3[23,29],PCBP4[20,24],PCBP2[25,31],PCBP1[22,29]",mRNA,mRNA,established RBP ,RNAbinding,experimentally validated,1,1,1,1,"GO:0003723,GO:0030529,GO:0016071,GO:0008380,GO:0000398","RNA binding,ribonucleoprotein complex,mRNA metabolic process,RNA splicing,mRNA splicing, via spliceosome","GO:0005515,GO:0003723,GO:0003697,GO:0005634,GO:0005737,GO:0005654,GO:0030529,GO:0010467,GO:0016071,GO:0008380,GO:0000398","protein binding,RNA binding,single-stranded DNA binding,nucleus,cytoplasm,nucleoplasm,ribonucleoprotein complex,gene expression,mRNA metabolic process,RNA splicing,mRNA splicing, via spliceosome",.
PCBP2,poly(rC) binding protein 2 [Source:HGNC Symbol;Acc:8648],ENSG00000197111,ENSP00000394116,3,KH_1[3],family-421,"HNRNPK,PCBP3,PCBP4,PCBP2,PCBP1",HNRNPK,"PCBP3[23,29],PCBP4[20,24],PCBP2[25,31],PCBP1[22,29]",mRNA,mRNA,established RBP ,RNAbinding,experimentally validated,1,1,1,1,"GO:0003723,GO:0030529,GO:0016071,GO:0008380,GO:0000398","RNA binding,ribonucleoprotein complex,mRNA metabolic process,RNA splicing,mRNA splicing, via spliceosome","GO:0003723,GO:0005634,GO:0005737,GO:0005515,GO:0003677,GO:0031625,GO:0019899,GO:0005829,GO:0005654,GO:0030529,GO:0045087,GO:0010467,GO:0016071,GO:0008380,GO:0000398,GO:0032480,GO:0043161,GO:0051607,GO:0050687","RNA binding,nucleus,cytoplasm,protein binding,DNA binding,ubiquitin protein ligase binding,enzyme binding,cytosol,nucleoplasm,ribonucleoprotein complex,innate immune response,gene expression,mRNA metabolic process,RNA splicing,mRNA splicing, via spliceosome,negative regulation of type I interferon production,proteasome-mediated ubiquitin-dependent protein catabolic process,defense response to virus,negative regulation of defense response to virus",.
PCBP3,poly(rC) binding protein 3 [Source:HGNC Symbol;Acc:8651],ENSG00000183570,ENSP00000383165,3,KH_1[3],family-421,"HNRNPK,PCBP3,PCBP4,PCBP2,PCBP1",HNRNPK,"PCBP3[23,29],PCBP4[20,24],PCBP2[25,31],PCBP1[22,29]",mRNA,mRNA,established RBP ,.,RNAbinding,.,1,1,1,"GO:0003723,GO:0030529,GO:0016071","RNA binding,ribonucleoprotein complex,mRNA metabolic process","GO:0003723,GO:0003677,GO:0005634,GO:0005739,GO:0005829,GO:0043231,GO:0030529,GO:0016071","RNA binding,DNA binding,nucleus,mitochondrion,cytosol,intracellular membrane-bounded organelle,ribonucleoprotein complex,mRNA metabolic process",.
PCBP4,poly(rC) binding protein 4 [Source:HGNC Symbol;Acc:8652],ENSG00000090097,ENSP00000395030,3,KH_1[3],family-421,"HNRNPK,PCBP3,PCBP4,PCBP2,PCBP1",HNRNPK,"PCBP3[23,29],PCBP4[20,24],PCBP2[25,31],PCBP1[22,29]",mRNA,mRNA,established RBP ,.,RNAbinding,.,1,1,1,"GO:0003723,GO:0030529","RNA binding,ribonucleoprotein complex","GO:0003723,GO:0006977,GO:0007050,GO:0008630,GO:0003677,GO:0005737,GO:0030529","RNA binding,DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest,cell cycle arrest,intrinsic apoptotic signaling pathway in response to DNA damage,DNA binding,cytoplasm,ribonucleoprotein complex",.
PCF11,"PCF11, cleavage and polyadenylation factor subunit, homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:30097]",ENSG00000165494,ENSP00000298281,1,CTD_bind[1],family-663,PCF11,.,.,mRNA,mRNA,19110458,.,.,.,.,.,.,"GO:0005849,GO:0008380,GO:0000398,GO:0006379,GO:0031124","mRNA cleavage factor complex,RNA splicing,mRNA splicing, via spliceosome,mRNA cleavage,mRNA 3'-end processing","GO:0005654,GO:0005849,GO:0006366,GO:0010467,GO:0008380,GO:0000398,GO:0006379,GO:0031124,GO:0006369","nucleoplasm,mRNA cleavage factor complex,transcription from RNA polymerase II promoter,gene expression,RNA splicing,mRNA splicing, via spliceosome,mRNA cleavage,mRNA 3'-end processing,termination of RNA polymerase II transcription",.
PDCD11,programmed cell death 11 [Source:HGNC Symbol;Acc:13408],ENSG00000148843,ENSP00000358812,6,"S1[5],Suf[1]",family-893,PDCD11,.,.,snoRNA,snoRNA/rRNA,19332556,.,RNAbinding,.,1,1,1,"GO:0003723,GO:0006397,GO:0006364,GO:0006396","RNA binding,mRNA processing,rRNA processing,RNA processing","GO:0003723,GO:0005515,GO:0008134,GO:0005634,GO:0005829,GO:0005622,GO:0005730,GO:0006397,GO:0006364,GO:0006396","RNA binding,protein binding,transcription factor binding,nucleus,cytosol,intracellular,nucleolus,mRNA processing,rRNA processing,RNA processing",.
